Exam_Score,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Internet_Access,Tutoring_Sessions,School_Type,Physical_Activity,Distance_from_Home,Motivation_Level
71,86,Medium,High,5,Yes,3,Public,3,Near,High
68,98,Medium,Low,7,Yes,0,Public,3,Near,Low
64,60,High,Medium,7,Yes,0,Public,4,Near,Medium
63,70,Medium,Low,8,Yes,1,Private,4,Far,Medium
71,97,Medium,Medium,6,Yes,0,Private,4,Near,Low
69,97,High,Medium,4,Yes,0,Public,3,Moderate,Low
100,89,High,Medium,4,Yes,3,Private,2,Near,Medium
68,91,Medium,Medium,6,Yes,3,Public,3,Moderate,Medium
62,64,Low,Medium,7,No,1,Public,3,Near,Low
68,81,Medium,Medium,7,Yes,2,Public,3,Far,Low
66,69,High,High,6,Yes,2,Private,3,Far,Medium
64,67,Low,Medium,5,Yes,0,Public,3,Near,High
67,92,Medium,Medium,4,Yes,2,Public,3,Moderate,High
65,65,Medium,High,8,Yes,1,Public,4,Moderate,Medium
65,79,Medium,Medium,7,Yes,0,Private,3,Far,Medium
69,98,High,Medium,6,Yes,0,Public,3,Near,High
63,67,Medium,Medium,5,Yes,1,Private,3,Near,High
72,99,Medium,Low,6,Yes,3,Public,4,Moderate,Low
76,100,Medium,Medium,7,Yes,2,Public,5,Moderate,Medium
69,82,Medium,High,7,Yes,3,Public,3,Near,High
67,67,Medium,Medium,7,Yes,3,Public,2,Moderate,High
69,73,High,Medium,9,Yes,2,Public,3,Near,Medium
63,77,High,Medium,6,Yes,0,Public,2,Moderate,Medium
67,72,Medium,Medium,9,Yes,3,Private,3,Near,Medium
66,71,Low,High,7,Yes,2,Public,5,Near,High
79,99,High,High,7,Yes,2,Private,2,Near,Low
64,66,Medium,Medium,8,Yes,1,Public,3,Near,Medium
73,89,High,High,6,Yes,1,Public,3,Near,Medium
63,60,Low,High,7,Yes,2,Public,4,Near,High
65,84,Medium,Medium,5,Yes,1,Public,2,Near,Medium
73,97,Low,High,8,Yes,0,Public,5,Near,Medium
70,72,High,High,8,Yes,2,Private,4,Moderate,Low
68,67,High,Medium,9,Yes,2,Public,3,Near,High
65,86,Medium,Medium,7,Yes,1,Public,3,Near,Medium
71,89,Low,High,9,Yes,0,Private,1,Moderate,High
64,88,Low,Medium,6,Yes,2,Public,2,Far,Low
68,73,Medium,High,8,Yes,4,Private,3,Moderate,Medium
69,70,Medium,Medium,6,Yes,1,Public,4,Near,Low
69,98,Medium,Medium,7,Yes,0,Private,4,Moderate,Medium
69,97,Medium,Medium,8,Yes,1,Public,4,Far,Medium
67,78,Medium,Medium,10,Yes,1,Private,2,Near,Medium
68,94,Low,Medium,8,Yes,4,Public,6,Far,Low
64,78,Medium,High,8,Yes,2,Public,3,Near,Medium
66,77,Medium,Medium,6,Yes,0,Public,4,Near,Low
63,66,High,Low,7,Yes,3,Public,3,Near,Medium
66,77,Medium,Medium,7,Yes,0,Public,2,Moderate,Medium
66,81,Medium,Medium,9,Yes,1,Private,3,Near,Medium
67,61,Medium,High,7,Yes,3,Private,3,Near,Low
65,78,High,High,9,Yes,1,Public,1,Near,Low
68,91,Low,Medium,5,Yes,1,Public,3,Near,Medium
68,87,Medium,Low,9,Yes,1,Private,2,Near,High
65,85,High,Medium,6,Yes,0,Private,1,Near,Medium
71,96,Medium,Medium,8,Yes,2,Public,0,Near,High
65,61,Medium,High,6,Yes,1,Private,3,Far,High
64,82,Medium,Low,8,Yes,3,Public,1,Near,Medium
72,91,High,Medium,6,Yes,0,Private,2,Near,Medium
65,82,Medium,Medium,9,Yes,2,Public,2,Near,Medium
66,73,Medium,High,8,No,0,Private,5,Near,High
61,65,Low,High,6,Yes,0,Private,4,Near,Medium
68,96,Low,High,8,Yes,2,Public,3,Near,Medium
69,79,High,High,8,Yes,3,Public,3,Moderate,Low
72,95,Medium,High,6,Yes,1,Public,3,Near,Medium
71,83,Medium,High,5,Yes,2,Public,3,Near,Medium
70,87,High,High,5,Yes,2,Public,3,Near,Low
68,92,Medium,High,5,Yes,1,Public,2,Moderate,Low
67,86,Low,Medium,5,Yes,2,Public,2,Moderate,Medium
68,76,Medium,Medium,8,Yes,1,Public,4,Near,Medium
68,81,Medium,Medium,8,Yes,3,Public,2,Near,Medium
72,92,Medium,Medium,4,Yes,2,Public,4,Far,Medium
65,75,Low,High,6,Yes,0,Public,2,Near,Low
66,76,Medium,High,5,Yes,2,Private,4,Near,Low
65,64,Medium,Medium,8,Yes,0,Public,3,Near,High
67,97,Medium,Medium,6,Yes,2,Public,3,Near,Medium
66,64,Medium,High,5,Yes,2,Public,4,Far,Low
69,86,Medium,Medium,7,Yes,1,Public,4,Far,Low
66,77,Medium,Medium,8,Yes,0,Public,3,Moderate,Low
69,76,Medium,High,6,Yes,4,Public,3,Near,Medium
67,87,High,Low,7,No,0,Public,2,Near,Medium
66,63,High,Medium,6,Yes,1,Private,3,Near,Medium
71,84,Medium,Medium,9,Yes,2,Private,3,Far,Medium
70,91,High,Low,6,Yes,5,Public,4,Moderate,Medium
71,93,High,Medium,6,Yes,2,Public,4,Near,Medium
66,67,Medium,Medium,7,Yes,1,Private,3,Near,High
67,96,Medium,Medium,7,No,3,Public,2,Near,High
66,86,High,Low,8,Yes,1,Public,4,Far,Medium
72,95,Medium,High,9,Yes,0,Public,2,Near,Low
68,79,Medium,Medium,9,Yes,1,Public,3,Near,Medium
69,82,Medium,Medium,6,No,3,Public,3,Near,Medium
71,97,Medium,Medium,7,Yes,2,Private,3,Near,Low
70,96,Medium,Medium,9,No,0,Public,2,Far,Low
67,78,Medium,Medium,9,Yes,2,Public,4,Far,High
69,71,Medium,Medium,6,Yes,2,Public,2,Far,Medium
65,76,Low,High,8,Yes,2,Public,1,Moderate,Low
65,76,High,High,8,Yes,1,Public,4,Near,Medium
64,71,Medium,Medium,8,Yes,2,Public,4,Near,Low
63,71,Low,Low,9,Yes,1,Public,2,Near,Low
69,94,Low,Medium,5,Yes,3,Public,2,Moderate,Medium
64,63,Medium,Low,6,Yes,1,Private,5,Near,Medium
72,87,High,High,8,Yes,0,Private,3,Moderate,High
63,67,Low,Medium,7,Yes,0,Public,4,Near,Medium
64,74,Low,High,4,Yes,3,Public,3,Near,Low
64,62,Medium,High,5,Yes,3,Private,4,Moderate,Medium
67,71,Medium,Medium,8,Yes,5,Public,1,Far,Medium
71,91,Medium,Medium,8,Yes,2,Public,0,Near,Low
70,95,Medium,Medium,5,Yes,1,Public,4,Near,High
61,69,Medium,Low,9,Yes,0,Private,4,Far,Low
67,79,Medium,High,7,Yes,2,Public,4,Moderate,Low
72,79,High,Medium,5,Yes,4,Public,3,Near,Medium
66,95,Low,Low,6,Yes,1,Public,5,Near,Low
70,91,Medium,High,5,Yes,1,Public,2,Near,Medium
67,81,High,Medium,6,No,3,Public,4,Near,High
67,87,High,Low,4,Yes,2,Public,3,Moderate,Medium
71,94,Low,Medium,7,Yes,2,Public,2,Near,High
66,60,High,Medium,8,Yes,1,Private,4,Near,Medium
68,76,Medium,Medium,5,Yes,1,Public,4,Near,Medium
74,96,Medium,Medium,7,Yes,3,Private,3,Near,Medium
64,90,Medium,Low,6,No,1,Public,3,Near,Medium
65,82,Medium,Medium,8,Yes,1,Private,3,Near,Medium
66,81,Low,Medium,4,Yes,1,Public,3,Near,Medium
66,74,Medium,High,8,Yes,0,Public,3,Near,Low
68,81,Medium,Low,4,Yes,2,Public,5,Near,Medium
78,86,High,Medium,7,Yes,2,Public,1,Near,Medium
67,77,Medium,High,6,Yes,1,Private,2,Moderate,Low
74,89,Medium,High,6,Yes,3,Private,3,Near,Medium
74,94,Medium,High,5,Yes,1,Public,2,Near,High
62,66,Medium,Low,9,Yes,1,Public,2,Near,Low
66,78,High,Medium,5,No,2,Public,4,Far,Medium
69,76,Medium,Medium,5,Yes,3,Public,3,Far,High
68,87,Medium,High,10,Yes,2,Private,3,Near,Medium
89,70,Medium,Low,7,Yes,0,Public,2,Moderate,High
66,86,High,Low,5,No,2,Private,4,Near,Low
68,95,Low,Medium,7,No,2,Public,3,Near,Low
69,77,Medium,Low,7,Yes,0,Public,3,Near,Low
67,96,Medium,Medium,4,No,0,Public,4,Near,High
75,100,High,High,6,Yes,2,Private,5,Near,Low
60,64,Medium,High,7,Yes,0,Public,4,Moderate,High
66,69,High,Medium,9,Yes,2,Private,4,Moderate,Medium
73,98,Low,High,7,Yes,1,Private,3,Near,Low
68,98,Medium,Low,7,Yes,1,Private,2,Near,Low
62,64,Medium,Medium,6,Yes,0,Public,3,Near,Medium
62,61,Medium,Medium,9,Yes,2,Public,2,Near,Low
65,66,High,Low,8,Yes,1,Public,4,Far,High
69,100,High,Low,8,Yes,2,Public,3,Moderate,High
64,67,Medium,Medium,7,Yes,3,Public,2,Far,Low
67,80,Medium,High,5,Yes,0,Private,4,Moderate,Medium
70,94,High,High,9,Yes,0,Public,2,Near,Medium
70,61,Medium,Medium,7,Yes,2,Public,3,Near,High
69,84,High,Low,7,Yes,3,Public,3,Near,Low
61,71,High,Low,8,Yes,0,Public,3,Near,Medium
69,94,Medium,Medium,7,Yes,0,Private,2,Moderate,Low
63,71,High,Medium,5,Yes,1,Public,0,Near,Medium
67,87,Medium,Low,7,Yes,0,Public,4,Near,Low
65,87,Low,Medium,4,Yes,1,Public,6,Moderate,Medium
66,69,Medium,Medium,7,Yes,3,Public,4,Moderate,High
63,61,Low,Medium,9,Yes,4,Public,2,Near,Medium
68,76,Medium,High,4,Yes,2,Private,3,Moderate,Medium
65,72,High,High,7,Yes,0,Public,4,Near,Medium
67,92,Low,Medium,8,Yes,1,Public,3,Near,Medium
68,92,Low,Low,8,Yes,2,Public,3,Near,Medium
64,78,Medium,High,6,Yes,0,Public,3,Near,Medium
71,84,Medium,Medium,5,Yes,0,Private,3,Moderate,High
69,84,Medium,Medium,6,Yes,0,Public,5,Near,Low
67,93,Medium,Medium,9,Yes,1,Public,3,Moderate,Low
65,77,Low,Medium,4,Yes,2,Public,3,Moderate,Low
68,71,Low,Medium,5,Yes,1,Public,2,Near,Medium
67,71,High,Medium,6,No,1,Private,3,Moderate,Low
67,81,Medium,Medium,6,Yes,3,Public,4,Near,High
66,78,Medium,High,7,No,2,Public,3,Near,Medium
70,78,High,Medium,9,Yes,2,Public,4,Moderate,High
65,64,High,Low,5,Yes,3,Private,4,Moderate,Medium
69,89,Low,Low,7,Yes,4,Private,4,Near,Low
65,69,Medium,Medium,7,No,1,Public,4,Far,Low
63,68,High,Medium,6,Yes,1,Public,3,Near,Medium
67,77,Medium,Medium,5,Yes,2,Private,2,Far,Low
61,69,High,Medium,6,Yes,1,Public,3,Near,Medium
65,83,Medium,Low,6,Yes,0,Public,2,Near,Medium
66,75,Low,High,8,Yes,1,Public,2,Near,Medium
66,78,Medium,High,8,Yes,0,Public,3,Near,High
69,81,Medium,Low,5,Yes,1,Public,1,Near,Medium
63,68,Medium,Medium,6,Yes,2,Public,3,Moderate,Medium
65,66,Low,High,6,Yes,1,Public,6,Near,Medium
67,95,Low,Low,10,Yes,0,Public,4,Near,Low
69,77,High,High,7,Yes,2,Public,3,Near,Medium
65,76,Low,Medium,5,Yes,4,Public,2,Near,Medium
65,61,Medium,Medium,6,Yes,1,Public,3,Moderate,Medium
65,80,High,Low,6,Yes,0,Public,2,Moderate,Medium
67,82,Medium,High,8,Yes,2,Public,5,Far,Low
72,88,Medium,High,7,Yes,4,Public,3,Near,Medium
66,67,Medium,High,7,Yes,3,Public,3,Near,High
65,70,Medium,Medium,7,No,2,Private,4,Far,Low
69,92,High,Medium,7,Yes,1,Public,3,Moderate,Medium
68,98,Medium,Low,4,Yes,2,Public,2,Near,Medium
64,65,Medium,Low,7,Yes,1,Public,1,Near,Low
69,80,Low,High,6,Yes,3,Public,4,Moderate,Medium
59,69,Medium,Low,5,Yes,0,Public,1,Moderate,Low
68,62,High,Medium,10,Yes,0,Private,3,Moderate,Medium
60,73,Medium,Medium,7,No,0,Private,3,Near,Medium
62,66,Medium,High,7,Yes,1,Public,3,Far,Medium
67,88,Low,Medium,6,Yes,0,Public,3,Near,Low
68,81,Low,High,8,Yes,4,Private,5,Far,High
64,66,Medium,High,5,Yes,3,Public,3,Moderate,High
65,60,Medium,High,7,Yes,3,Public,3,Moderate,High
65,92,Low,Low,6,Yes,2,Private,2,Moderate,Medium
63,67,High,Medium,8,Yes,0,Public,3,Near,Medium
70,84,Medium,Low,6,Yes,2,Public,3,Near,Low
66,73,Low,Medium,9,Yes,3,Public,3,Near,Low
68,83,Medium,High,7,Yes,4,Public,3,Near,Low
66,73,Low,Low,8,Yes,3,Private,3,Near,Medium
63,63,Low,Low,8,Yes,3,Private,1,Near,Medium
66,69,High,Medium,9,Yes,1,Public,3,Moderate,Medium
65,68,Medium,Medium,6,Yes,1,Public,3,Near,Medium
66,77,Medium,Medium,8,Yes,1,Public,2,Moderate,High
67,86,High,Low,4,Yes,2,Private,3,Moderate,High
66,71,Medium,Medium,7,Yes,0,Private,3,Near,Medium
63,60,Low,Medium,6,Yes,4,Public,3,Near,High
66,81,Medium,Medium,5,Yes,3,Public,4,Near,Low
67,84,Medium,Medium,6,No,1,Public,3,Moderate,Low
71,99,Medium,Medium,6,No,1,Public,3,Near,Medium
67,84,Medium,High,7,Yes,1,Private,2,Near,Medium
69,79,Medium,High,6,Yes,1,Public,4,Moderate,Medium
67,83,Medium,Medium,7,Yes,2,Public,4,Near,Medium
72,97,High,Medium,6,Yes,2,Private,2,Moderate,High
70,93,High,Low,6,Yes,2,Private,4,Near,High
67,73,Medium,High,7,Yes,0,Private,4,Moderate,Low
64,69,Low,High,7,Yes,0,Public,3,Far,Medium
67,71,Medium,Medium,8,Yes,1,Private,1,Moderate,High
69,80,Low,High,8,Yes,3,Private,4,Near,Medium
63,80,Medium,Medium,8,Yes,2,Public,3,Moderate,Low
68,63,Medium,High,7,Yes,4,Public,3,Near,Medium
70,89,High,Medium,7,Yes,0,Public,3,Near,Medium
66,92,Medium,Low,8,Yes,0,Public,2,Moderate,Low
68,72,High,High,6,Yes,0,Public,6,Near,High
67,87,High,Low,4,Yes,0,Private,3,Near,High
69,77,Low,High,5,Yes,0,Private,5,Far,Medium
66,96,Medium,Low,9,Yes,0,Private,3,Near,High
68,94,Medium,Medium,7,Yes,3,Public,3,Near,Low
69,81,Medium,Medium,7,Yes,2,Public,2,Moderate,Medium
70,88,Medium,Medium,7,Yes,1,Private,3,Moderate,Low
74,95,Medium,High,8,Yes,1,Private,3,Near,High
70,80,Medium,High,7,Yes,0,Public,0,Moderate,High
66,73,Medium,Medium,7,Yes,1,Public,2,Moderate,Low
69,90,High,Medium,8,Yes,1,Private,3,Near,Medium
64,69,Medium,High,6,Yes,0,Public,3,Near,Low
62,76,Low,High,8,No,1,Public,1,Near,Medium
70,95,Low,High,7,Yes,0,Public,3,Moderate,Medium
68,89,High,Medium,7,Yes,2,Public,4,Moderate,Medium
65,76,Medium,Medium,6,Yes,0,Public,3,Near,Low
65,69,High,High,7,Yes,3,Public,3,Moderate,Low
71,74,High,High,6,Yes,3,Public,4,Moderate,Low
66,71,High,Medium,9,Yes,2,Public,5,Near,Low
61,67,Medium,Medium,4,Yes,0,Public,3,Moderate,Medium
67,90,Low,Medium,8,Yes,2,Public,5,Near,Low
65,70,Low,High,4,Yes,0,Private,2,Far,Medium
65,78,Medium,High,8,Yes,0,Public,3,Near,Medium
65,75,Medium,High,6,No,1,Private,5,Moderate,Medium
73,99,Medium,Medium,8,Yes,4,Public,4,Moderate,High
62,76,Medium,Medium,7,No,1,Public,2,Near,Medium
60,63,Medium,High,5,Yes,0,Public,2,Moderate,Low
61,64,Low,Medium,9,Yes,1,Public,3,Moderate,Low
67,84,Low,Medium,8,Yes,2,Private,3,Far,High
70,84,High,Medium,8,No,3,Private,4,Near,Medium
69,77,Low,High,6,Yes,1,Public,1,Near,Medium
66,77,Medium,Low,8,No,0,Public,5,Far,High
64,62,Medium,Medium,5,Yes,2,Public,3,Moderate,Low
68,81,High,Medium,4,Yes,1,Private,2,Moderate,Medium
67,80,High,Medium,5,Yes,1,Public,4,Far,Medium
64,66,Medium,Medium,6,Yes,0,Public,1,Near,High
65,64,Medium,Medium,6,Yes,2,Public,2,Near,High
66,65,Low,High,6,Yes,2,Public,3,Near,Medium
68,84,High,Medium,6,Yes,2,Public,2,Moderate,Low
66,68,Medium,High,4,Yes,1,Private,4,Far,Medium
63,70,Medium,Medium,7,No,3,Public,5,Near,Low
63,67,Low,Medium,7,Yes,1,Public,3,Moderate,Low
74,98,High,Medium,6,Yes,1,Public,4,Far,Medium
70,94,Medium,High,9,Yes,1,Public,2,Moderate,Low
68,69,High,High,7,Yes,2,Private,3,Near,Medium
66,73,Medium,Medium,7,Yes,0,Public,4,Moderate,Medium
63,68,Medium,Low,8,Yes,0,Public,4,Far,Low
67,80,Low,High,5,Yes,4,Public,3,Far,Medium
62,61,Medium,Medium,7,Yes,1,Public,3,Moderate,Medium
71,87,High,High,8,Yes,1,Public,3,Moderate,Medium
72,81,High,Medium,7,Yes,2,Public,4,Near,Medium
72,96,Medium,Medium,5,No,1,Private,2,Near,Medium
68,67,Medium,Medium,6,Yes,0,Public,3,Far,High
66,92,Medium,Low,7,Yes,1,Public,5,Near,Low
70,92,Medium,Medium,4,Yes,0,Public,3,Near,Medium
66,65,Medium,Low,5,No,2,Private,4,Near,High
72,76,Medium,Medium,10,Yes,1,Private,3,Near,Low
64,67,High,Medium,8,Yes,0,Public,4,Moderate,Low
61,71,Medium,Medium,8,Yes,0,Public,2,Far,Medium
62,82,High,High,8,Yes,0,Private,2,Far,Medium
68,76,Medium,High,7,Yes,1,Public,4,Near,High
68,98,Low,Medium,8,Yes,1,Public,3,Near,Low
63,65,Low,Medium,9,Yes,1,Public,5,Moderate,High
70,99,Medium,Low,8,Yes,1,Private,4,Moderate,Low
68,69,High,Low,7,Yes,1,Public,3,Near,Medium
72,91,High,Medium,7,Yes,1,Private,5,Near,Medium
67,74,Medium,Medium,8,Yes,4,Public,3,Near,Medium
61,66,Low,High,6,No,1,Private,1,Near,Medium
69,94,Low,Medium,8,No,0,Public,3,Near,Medium
61,72,Medium,Low,6,Yes,2,Private,2,Moderate,High
75,86,High,High,6,Yes,3,Public,3,Moderate,Medium
68,83,High,Low,5,Yes,0,Public,2,Moderate,Medium
65,79,Medium,Low,6,Yes,1,Public,4,Near,Low
67,80,High,Medium,6,Yes,4,Public,3,Moderate,High
75,89,Medium,High,10,Yes,3,Public,6,Near,High
64,64,Low,Medium,6,Yes,1,Public,3,Near,Medium
70,87,Medium,Medium,8,Yes,1,Public,4,Moderate,Medium
67,96,High,High,6,No,0,Public,4,Moderate,Medium
63,62,Medium,Medium,7,Yes,2,Public,3,Near,Low
67,89,Medium,Medium,4,Yes,1,Public,3,Far,Medium
86,77,Low,High,5,Yes,2,Public,3,Near,Medium
67,76,Low,High,6,Yes,3,Public,3,Moderate,High
63,65,High,Medium,5,Yes,1,Public,4,Far,Low
66,80,Medium,Medium,7,Yes,0,Public,3,Moderate,Medium
65,65,High,High,7,Yes,2,Private,1,Near,Low
67,79,Medium,Medium,5,Yes,1,Private,3,Near,Medium
69,91,Medium,Medium,7,Yes,0,Public,4,Near,Low
66,70,High,High,6,Yes,2,Public,2,Near,Medium
64,79,Medium,Medium,7,Yes,1,Public,2,Moderate,Medium
73,100,High,Low,6,Yes,1,Public,2,Near,Medium
66,87,Low,Medium,8,Yes,1,Public,1,Far,Low
68,94,Medium,Medium,9,Yes,1,Public,4,Near,Low
70,77,High,Low,8,Yes,0,Public,4,Moderate,Low
69,91,High,Medium,9,Yes,2,Private,2,Near,Medium
67,62,Medium,High,5,Yes,4,Public,4,Near,Low
62,65,Medium,Low,6,Yes,0,Private,3,Moderate,Low
68,68,Medium,Low,8,Yes,1,Public,2,Near,High
72,76,Medium,High,9,Yes,1,Private,4,Near,Medium
69,94,Low,Medium,8,Yes,3,Private,5,Near,Medium
66,74,Low,Low,5,Yes,3,Private,2,Near,Low
70,86,High,High,6,Yes,1,Public,3,Moderate,Medium
71,88,High,Medium,8,Yes,0,Public,3,Far,Medium
65,83,Medium,Medium,7,Yes,0,Public,3,Near,Medium
70,74,High,Medium,6,Yes,3,Public,3,Near,Medium
65,83,Low,Low,7,No,2,Public,4,Moderate,High
62,74,Medium,High,7,Yes,1,Private,3,Far,Low
62,63,High,Medium,5,Yes,2,Private,2,Far,Medium
70,100,High,Medium,8,Yes,1,Public,3,Moderate,Medium
66,65,Medium,High,6,No,5,Private,3,Near,Medium
67,63,High,Low,7,Yes,4,Private,4,Near,Low
72,95,Medium,Low,9,Yes,1,Public,3,Near,Medium
66,72,High,Low,7,Yes,0,Private,3,Near,Low
68,86,Medium,Low,8,Yes,2,Public,2,Moderate,Medium
62,73,High,Medium,5,Yes,1,Public,4,Moderate,Medium
64,76,Low,Medium,8,Yes,2,Private,3,Moderate,Medium
65,70,Medium,Medium,8,Yes,0,Public,5,Near,Medium
66,74,Medium,Low,6,Yes,4,Public,3,Moderate,Low
64,76,Medium,Low,7,Yes,2,Private,3,Near,Medium
67,89,Medium,High,7,Yes,4,Public,3,Near,Low
69,80,High,Medium,7,Yes,4,Public,4,Near,Low
68,98,High,Medium,8,Yes,0,Public,5,Moderate,Medium
64,62,Medium,Medium,6,Yes,2,Public,4,Near,High
68,80,High,Medium,7,Yes,2,Private,2,Moderate,Medium
64,83,Low,Low,9,Yes,1,Public,3,Near,Medium
71,97,Medium,High,9,Yes,0,Public,1,Near,High
61,62,High,High,8,Yes,3,Public,2,Far,Low
68,83,Low,Medium,7,Yes,4,Public,3,Near,Medium
73,94,High,Medium,10,Yes,2,Public,5,Near,Low
64,70,High,Medium,9,No,3,Public,1,Near,Medium
72,95,Medium,Medium,7,Yes,3,Public,4,Far,Medium
65,61,Medium,Medium,7,Yes,5,Public,3,Near,High
68,89,Medium,Medium,6,Yes,1,Public,4,Near,Medium
71,97,High,Low,8,Yes,2,Public,3,Near,Medium
65,86,Medium,Low,8,No,3,Public,3,Near,Medium
66,78,Medium,Medium,8,Yes,2,Private,2,Near,Low
63,62,Low,High,7,Yes,4,Public,1,Moderate,Medium
74,97,Medium,High,5,Yes,1,Public,3,Moderate,Medium
66,79,High,Low,7,No,2,Private,4,Near,Low
